Mon,Mkt_Rf,rf,SMB,VMG
201607,0.012692933,0.001241,-0.013526827,0.047820904
201608,0.036558154,0.001241,0.014096625,-0.010811412
201609,-0.023879017,0.001241,0.023239415,0.013287607
201610,0.025849606,0.001241,0.017393272,-0.004709991
201611,0.038668962,0.001241,-0.006737099,0.004025567
201612,-0.052208676,0.001241,0.00373905,-0.002037589
201701,0.008464528,0.001241,-0.035207681,0.027053576
201702,0.027789221,0.001241,0.013892821,0.006387847
201703,-0.00905518,0.001241,-0.004622069,0.033137193
201704,-0.023677499,0.001241,-0.041583242,0.046839836
201705,-0.015982926,0.001241,-0.042955985,0.065789091
201706,0.038666159,0.001241,0.002275077,0.020338518
201707,0.027029878,0.001241,-0.019394405,0.044733951
201708,0.027141985,0.001241,0.001238267,-0.019642228
201709,0.005372939,0.001241,0.005881158,-0.013316055
201710,0.01283879,0.001241,-0.032422444,0.039150218
201711,-0.028594332,0.001241,-0.042115979,0.032912683
201712,9.13E-05,0.001241,-0.021754257,0.015351535
201801,0.043875722,0.001241,-0.063573502,0.074277483
201802,-0.057464468,0.001241,-0.007298784,-0.012877864
201803,-0.017589328,0.001241,0.066672626,-0.050775071
201804,-0.032947107,0.001241,-0.00891425,0.005276901
201805,-0.000308582,0.001241,-0.000326523,0.057635046
201806,-0.079166075,0.001241,-0.023493571,0.036027193
